Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
06.06.2023;K223855;FEops HEARTguideTM, FEops HEARTguideTM ALPACA;FEops nv;Radiology;QIH;K153736
30.05.2023;K223523;Sonic DL;GE Medical Systems,LLC (GE Healthcare);Radiology;LNH;K213668
25.05.2023;K230273;Saranas Early Bird Bleed Monitoring System;Saranas Inc.;Cardiovascular;QFJ;DEN180021
25.05.2023;K223491;Critical Care Suite with Pneumothorax Detection AI Algorithm, Critical Care Suite 2.1, Critical Care Suite;GE Medical Systems, LLC;Radiology;QBS;K212365
23.05.2023;K223504;Ceribell Status Epilepticus Monitor;Ceribell, Inc.;Neurology;OMB;K191301
23.05.2023;K230096;Genius AI Detection 2.0 with CC-MLO Correlation;Hologic, Inc.;Radiology;QDQ;K221449
19.05.2023;K212758;Autoplaque;Cedars-Sinai Medical Center: AIM;Radiology;LLZ;K122429
19.05.2023;K231143;GI Genius System 100 and GI Genius System 200;Cosmo Artificial Intelligence - AI Ltd;Gastroenterology-Urology;QNP;K211951
17.05.2023;K222728;Radiation Planning Assistant (RPA);University of Texas, MD Anderson Cancer Center;Radiology;MUJ;K181145
12.05.2023;K231190;EPIQ Series Diagnostic Ultrasound System;Philips Ultrasound LLC;Radiology;IYN;K212704
11.05.2023;K223623;SubtleMR (2.3.x);Subtle Medical Inc.;Radiology;LLZ;K203182
10.05.2023;K220437;Neurophet AQUA;NEUROPHET, Inc.;Radiology;LLZ;K170981
04.05.2023;K223771;Lumify Diagnostic Ultrasound System;Philips Ultrasound;Radiology;IYN;K203406
04.05.2023;K230082;Auto Segmentation;GE Medical Systems, LLC;Radiology;QKB;K191928
02.05.2023;K230292;Samsung ECG Monitor Application with Irregular Heart Rhythm Notification;Samsung Electronics Co., Ltd;Cardiovascular;QDA;K201168, DEN180042
02.05.2023;K230977;SIS System;Surgical Information Sciences, Inc.;Radiology;QIH;K223032
27.04.2023;K223212;Precision DL;GE Healthcare;Radiology;KPS;K221932
27.04.2023;K223734;ENT EM;Brainlab AG;Neurology;PGW;K200723
26.04.2023;K230553;LINQ II Insertable Cardiac Monitor, CareLink SmartSync LINQ II ICM Application;Medtronic, Inc.;Cardiovascular;MXD;K211304
26.04.2023;K230552;MR DWI/FLAIR Measurement V1.0;Olea Medical;Radiology;LLZ;K152602
25.04.2023;K230223;iCAC Device;Bunkerhill, Inc;Radiology;JAK;K210085
25.04.2023;K222676;Ceevra Reveal 3;Ceevra, Inc.;Radiology;QIH;K173274
21.04.2023;K223501;ViewFinder Software Version 1.1;Elaitra Ltd;Radiology;QIH;K212621
21.04.2023;K230084;"HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System";Samsung Medison CO., LTD.;Radiology;IYN;K220043
20.04.2023;K223287;Velacur;Sonic Incytes;Radiology;IYO;K201597
20.04.2023;K230807;Deep Learning Image Reconstruction;GE Healthcare Japan Corporation;Radiology;JAK;K213999
19.04.2023;K230023;ART-Plan;Therapanacea SAS;Radiology;QKB;K220813
19.04.2023;K223552;Brainlab Elements  Trajectory Planning (2.6), Elements Stereotaxy, Elements Lead Localization, Elements Trajectory Planning Cranial;Brainlab AG;Neurology;HAW;K211544, K092192
17.04.2023;K230772;Quantib Prostate;Quantib BV;Radiology;LLZ;K221106
14.04.2023;K230685;AutoContour Model RADAC V3;Radformation, Inc.;Radiology;QKB;K220598
13.04.2023;K230264;Ezra Flash;Ezra AI, Inc.;Radiology;LLZ;K203182
13.04.2023;K213986;CerebralGo Plus;Yukun (Beijing) Technology Co., Ltd;Radiology;QIH;K192692
11.04.2023;K223830;Ultrasound System 2300;BK Medical Aps;Radiology;IYN;K222441
07.04.2023;K230575;Limbus Contour;Limbus AI Inc.;Radiology;LLZ;K201232
07.04.2023;K230658;SKOUT® system;Iterative Scopes Inc.;Gastroenterology-Urology;QNP;K213686
06.04.2023;K223458;Ingenia, Ingenia CX, Ingenia Elition, Ingenia Ambition, MR 5300 and MR 7700 MR Systems;Philips Medical Systems Nederland B.V.;Radiology;LNH;"K213583; K223442"
06.04.2023;K223774;Contour ProtégéAI;MIM Software Inc.;Radiology;QKB;K213976
