Date of Final Decision;Submission Number;Device;Company;Panel (Lead);Primary Product Code;Predicate Device
10.01.2025;K241891;ScreenDx;Imvaria, Inc;Radiology;QWO;DEN220040
10.01.2025;K241009;PeriCALM Patterns 3.0;PeriGen, Inc.;Obstetrics and Gynecology;HGM;K040788
07.01.2025;K241079;uCT 780;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;JAK;K230162
07.01.2025;K243335;Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K241496
06.01.2025;K243481;TMINI Miniature Robotic System;THINK Surgical, Inc.;Neurology;OLO;K243285
06.01.2025;K242488;Soteria E-View;Omega Medical Imaging, LLC;Radiology;JAA;K212336
06.01.2025;K242123;Brainomix 360 e-CTA;Brainomix Limited;Radiology;LLZ;K192692
03.01.2025;K243363;JLK-ICH;JLK, Inc.;Radiology;QAS;K193658
03.01.2025;K241350;Clarify DL;GE Medical Systems Israel, Functional Imaging;Radiology;LLZ;K221680, K210173
02.01.2025;K242334;Ezra Flash;Ezra AI, Inc.;Radiology;QIH;K230264, K203182
02.01.2025;K241696;Ortho AI;Ortho AI LLC;Radiology;QIH;K192109
27.12.2024;K242480;FLASH EVD System (10-0002);7D Surgical ULC;Neurology;HAW;K192945
23.12.2024;K242403;Aquilion ONE (TSX-308A/3) V1.5;Canon Medical Systems Corporation;Radiology;JAK;K232835, K213504
20.12.2024;K242362;Lightning Viewer;Nexsys Electronics Inc. dba Medweb;Radiology;LLZ;K222476
20.12.2024;K242168;"Voluson Expert 18; Voluson Expert 20; Voluson Expert 22";GE Medical Systems Ultrasound and Primary care Diagnostics;Radiology;IYN;K231965, K231301, K211488, K240111
19.12.2024;K242270;OrthoNext Platform System;Orthofix Srl;Radiology;QIH;K202519
19.12.2024;K242467;IQ-UIP;Imbio, Inc.;Radiology;QWO;DEN220040
19.12.2024;K243688;Saige-Dx (3.1.0);DeepHealth, Inc.;Radiology;QDQ;K241747
19.12.2024;K243705;Saige-Density (2.5.0);DeepHealth, Inc;Radiology;QIH;K222275
16.12.2024;K240793;MSKai;MSKai;Radiology;QIH;K220497, K193290, K193267
12.12.2024;K243538;"uMI Panvivo (uMI Panvivo); uMI Panvivo (uMI Panvivo S)";Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;KPS;K241596
12.12.2024;K242020;"EPIQ Series Diagnostic Ultrasound System; Affiniti Series Diagnostic Ultrasound System";Philips Ultrasound LLC;Radiology;IYN;K240850
11.12.2024;K243548;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QFM;K230020
10.12.2024;K242461;IRISeg;Intuitive Surgical Inc.;Radiology;QIH;K182643
10.12.2024;K242511;V5 Diagnostic Ultrasound System, H5 Diagnostic Ultrasound System, XV5 Diagnostic Ultrasound System, XH5 Diagnostic Ultrasound System, V4 Diagnostic Ultrasound System, H4 Diagnostic Ultrasound System, XV4 Diagnostic Ultrasound System, XH4 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K240631, K221599, K233112
09.12.2024;K242729;AutoContour (Model RADAC V4);Radformation, Inc.;Radiology;QKB;K230685
06.12.2024;K240680;CDM Insights;Oxford Brain Diagnostics Ltd;Radiology;QIH;K213706
06.12.2024;K241543;DrAid for Liver Segmentation;VinBrain Joint Stock Company;Radiology;QIH;K131498
06.12.2024;K241923;EFAI Neurosuite CT Midline Shift Assessment System (MLS-CT-100);Ever Fortune.AI, Co., Ltd.;Radiology;QAS;K200921
06.12.2024;K240926;PeekMed web;Peek Health, S.A.;Radiology;LLZ;K222767
04.12.2024;K241197;DeepRhythmAI;Medicalgorithmics S.A.;Cardiovascular;DQK;K210822, K182344
03.12.2024;K242188;ClearRead CT CAC;Riverain Technologies, Inc.;Radiology;JAK;K230223
27.11.2024;K242444;"HERA W10 Diagnostic Ultrasound System; HERA W9 Diagnostic Ultrasound System";Samsung Medison Co., Ltd.;Radiology;IYN;K230084, K240516
27.11.2024;K240645;Sonix Health;Ontact Health Co., Ltd;Radiology;QIH;K230209
26.11.2024;K241390;NeuroMatch;LVIS Corporation;Neurology;OMB;K182181
25.11.2024;K241831;Transpara (2.1.0);ScreenPoint Medical B.V.;Radiology;QDQ;K221347
22.11.2024;K242094;Dreem 3S;Beacon Biosignals, Inc.;Neurology;OLZ;K223539
22.11.2024;K242203;BriefCase-Quantification;Aidoc Medical, Ltd.;Radiology;QIH;K241112
20.11.2024;K242359;Strain AI (SAI001);Exo Inc;Radiology;QIH;K210053
19.11.2024;K242523;"ACUSON Sequoia Diagnostic Ultrasound System; ACUSON Sequoia Select Diagnostic Ultrasound System; ACUSON Origin Diagnostic Ultrasound System; ACUSON Origin ICE Diagnostic Ultrasound System";Siemens Medical Solutions USA, Inc.;Radiology;IYN;K240704
18.11.2024;K241747;Saige-Dx;DeepHealth, Inc;Radiology;QDQ;K220105
18.11.2024;K241633;Informed Vital Core Application (IVC App);Mindset Medical, Inc.;Cardiovascular;QME;K211906
15.11.2024;K241439;VUNO Med-Chest X-ray Triage/VUNO Med-CXR Link Triage;Vuno Inc.;Radiology;QFM;K230899
15.11.2024;K242062;1CMR Pro;Mycardium AI Limited;Radiology;LLZ;K220624
15.11.2024;K240860;EchoGo Amyloidosis (1.0);Ultromics Limited;Cardiovascular;SDJ;K222463
15.11.2024;K242800;The 5000 Compact Series Ultrasound Systems;Philips Ultrasound LLC;Radiology;IYN;K222648
15.11.2024;K242130;Koios DS;Koios Medical, Inc.;Radiology;POK;K212616
14.11.2024;K242342;Fetal EchoScan;BrightHeart;Radiology;POK;K201555
08.11.2024;K240417;ProFound Detection (V4.0);iCAD, Inc.;Radiology;QDQ;K203822
07.11.2024;K240712;icobrain aria;icometrix NV;Radiology;QBS;DEN180005
07.11.2024;K241719;NeuroICH;Neurocareai Inc.;Radiology;QAS;K210209
05.11.2024;K241312;TeraRecon Cardiac.Chambers.MR (1.0.0);TeraRecon,Inc.;Radiology;QIH;K213998
30.10.2024;K241108;RemedyLogic AI MRI Lumbar Spine Reader;Remedy Logic Inc.;Radiology;QIH;K220497
25.10.2024;K243189;TumorSight Viz;SimBioSys, Inc.;Radiology;QIH;K231130
25.10.2024;K242215;Neurophet AQUA (V3.1);Neurophet, Inc.;Radiology;QIH;K220437
22.10.2024;K243209;nordicMEDiVA;NordicNeurolab AS;Radiology;LLZ;K163324
18.10.2024;K242837;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QAS;K203508
18.10.2024;K241490;Contour+ (MVision AI Segmentation);MVision AI Oy;Radiology;QKB;K212915
17.10.2024;K240408;REMI-AI Rapid Detection Module (REMI-AI RDM);Epitel, Inc;Neurology;OMB;K191301
17.10.2024;K241242;SIGNA MAGNUS;GE Medical Systems, LLC;Radiology;LNH;K193282
16.10.2024;K241481;xvision Spine System;Augmedics Ltd.;Neurology;SBF;K220905
15.10.2024;K242781;cvi42 Software Application;Circle Cardiovascular Imaging Inc.;Radiology;QIH;K082628
11.10.2024;K241971;HERA Z20, R20, HERA Z30, R30 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K240631
10.10.2024;K241430;EchoMeasure;iCardio.ai;Radiology;QIH;K220956
09.10.2024;K241837;Limbus Contour;Limbus AI Inc.;Radiology;QKB;K230575
07.10.2024;K240980;EPIQ Series Diagnostic Ultrasound System;Philips Ultrasound LLC;Radiology;IYN;K233788
07.10.2024;K241029;SpineUs System;Verdure Imaging;Radiology;IYO;K231966
04.10.2024;K240553;LVivo Software Application;DiA Imaging Analysis Ltd.;Radiology;QIH;K222970
04.10.2024;K242652;Lunit INSIGHT DBT v1.1;Lunit Inc.;Radiology;QDQ;K231470
04.10.2024;K241245;EchoSolv AS;Echo IQ Ltd;Radiology;POK;K201555
02.10.2024;K242005;"Versana Premier; Versana Premier Lotus; LOGIQ F";GE Medical Systems Ultrasound and Primary Care Diagnostics;Radiology;IYN;K210438
02.10.2024;K241561;MammoScreen BD;Therapixel;Radiology;QIH;K202013
01.10.2024;K240943;LungVision;BodyVision Medical Ltd.;Radiology;QIH;K183593
01.10.2024;K241331;MuscleView;Springbok, Inc.;Radiology;LNH;K173749
27.09.2024;K241480;JBS-LVO;JLK, Inc.;Radiology;QAS;K223042
27.09.2024;K240369;CAC (gated) Algorithm;BunkerHill Health;Radiology;JAK;"K230112; K230223"
27.09.2024;K240993;encevis (2.1);AIT Austrian Institute of Technology GmbH;Neurology;OMB;K211452
24.09.2024;K242292;uAI Easy Triage ICH;Shanghai United Imaging Intelligence Co., Ltd.;Radiology;QAS;K221716
23.09.2024;K240013;EchoGo Heart Failure (2.0);Ultromics Limited;Cardiovascular;QUO;K222463
20.09.2024;K240036;PIUR tUS Infinity;PIUR Imaging GmbH;Radiology;QIH;K203555
13.09.2024;K240929;Sleep Apnea Notification Feature (SANF);Apple Inc.;Anesthesiology;QZW;DEN230041
12.09.2024;K241582;Aplio i900/i800/i700 Diagnostic Ultrasound System, Software V7.0 (TUS-AI900, TUS-AI800, TUS-AI700);Canon Medical Systems Corporation;Radiology;IYN;K223017
12.09.2024;K241280;Constellation (CON-001);Q Bio, Inc.;Radiology;QIH;K192051
12.09.2024;K240942;CINA-CSpine;Avicenna.AI;Radiology;QAS;K190896
11.09.2024;K241380;FETOLY-HEART;Diagnoly;Radiology;IYN;K240406
10.09.2024;K240094;"LumiNE US; Lumi";Augmedit B.V.;Radiology;QIH;K213215
09.09.2024;K241681;Overjet Image Enhancement Assist;Overjet Inc;Radiology;QIH;K223623
09.09.2024;K240791;ADAS 3D;Adas3D Medical S.L;Radiology;QIH;K230803
09.09.2024;K240697;See-Mode Augmented Reporting Tool, Thyroid (SMART-T);See-Mode Technologies Pte. Ltd.;Radiology;QDQ;K210670
06.09.2024;K240411;uAI Portal;Shanghai United Imaging Intelligence Co., Ltd.;Radiology;QIH;K183170
05.09.2024;K233998;TRAQinform IQ;AIQ Global, Inc.;Radiology;LLZ;K173444
04.09.2024;K233977;Velacur;Sonic Incytes;Radiology;IYO;K232459
30.08.2024;K240003;Velmeni for Dentists (V4D);Velmeni Inc.;Radiology;MYN;K222746
30.08.2024;K242300;MI View&GO;Siemens Medical Solutions USA, Inc.;Radiology;QIH;K201202
30.08.2024;K242275;"syngo.via MI Workflows; Scenium; syngo MBF";Siemens Medical Solutions USA, Inc.;Radiology;QIH;K232000
30.08.2024;K241847;Imbio PHA (4.0.0);Imbio, Inc;Radiology;QIH;K203256
30.08.2024;K241585;uMI Panorama;Shanghai United Imaging Healthcare Co.,Ltd.;Radiology;KPS;K231572
29.08.2024;K233826;Kosmos;EchoNous, Inc.;Radiology;IYN;K212100
27.08.2024;K241684;Overjet Charting Assist;Overjet, Inc;Radiology;QIH;K233590
22.08.2024;K241098;NeuroQuant;CorTechs Labs, Inc.;Radiology;QIH;K170981
21.08.2024;K240290;AiMIFY (1.x);Subtle Medical, Inc.;Radiology;LLZ;K223623
20.08.2024;K240200;"HYDROS Robotic System; HYDROS TRUS Probe; HYDROS Handpiece";Procept BioRobotics;General and Plastic Surgery;PZP;K231024
20.08.2024;K241496;Vantage Galan 3T, MRT-3020, V10.0 with AiCE Reconstruction Processing Unit for MR;Canon Medical Systems Corporation;Radiology;LNH;K230355
19.08.2024;K241440;HealthCCSng;Nano-X AI Ltd.;Radiology;JAK;K210085
16.08.2024;K233755;HeartKey® Rhythm;B-Secur Limited;Cardiovascular;DQK;K210822
16.08.2024;K240740;qCT LN Quant;Qure.ai Technologies;Radiology;QIH;K162484
15.08.2024;K241596;uMI Panvivo;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;KPS;K172143
15.08.2024;K241211;CoLumbo;Smart Soft Healthcare;Radiology;QIH;K220497
13.08.2024;K241429;ECHELON Synergy MRI System;FUJIFILM Healthcare Corporation;Radiology;LNH;K233687
12.08.2024;K242054;OptimMRI (v2);Rebrain, SAS;Radiology;QIH;K230150
08.08.2024;K241665;Omni Legend;GE Medical Systems Israel, Functional Imaging;Radiology;KPS;K221932
08.08.2024;K233822;i2Contour;MRIMath LLC;Radiology;QIH;K221738
05.08.2024;K240953;AI Platform 2.0 (AIP002);Exo Imaging;Radiology;QIH;K222970
05.08.2024;K233992;Precision AI Surgical Planning System (PAI-SPS);Precision AI Pty Ltd;Orthopedic;QHE;K212569
02.08.2024;K233984;Acumen Assisted Fluid Management (AFM) Software Feature;Edwards Lifesciences, LLC;Cardiovascular;QMS;K223865
01.08.2024;K233731;CardIQ Suite;GE Medical Systems SCS;Radiology;JAK;K213725
01.08.2024;K240301;MammoScreen® (3);Therapixel;Radiology;QDQ;K211541
01.08.2024;K234141;AISAP Cardio V1.0;Aisap;Radiology;POK;K201555 , K213275
25.07.2024;K241887;"GI Genius Module 100 (GGM100.US); GI Genius Module 200 (GGM200.US); ColonPRO 4.0 (CPRO40.US); GI Genius Module 300 (GGM300-US); ColonPRO 4.0 (CPRO40S-US)";Cosmo Artificial Intelligence - AI Ltd;Gastroenterology-Urology;QNP;K233964
24.07.2024;K240044;CADDIE;Odin Medical Limited;Gastroenterology-Urology;QNP;DEN200055
22.07.2024;K240704;ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System, ACUSON Origin ICE  Diagnostic Ultrasound System;Siemens Medical Solutions, USA, Inc.;Radiology;IYN;K232145,K233613,K233270
17.07.2024;K241121;MICSI-RMT;Microstructure Imaging, Inc.;Radiology;LLZ;K191688
17.07.2024;K240845;Rayvolve;AZmed SAS;Radiology;QBS;K220164
16.07.2024;K240944;Swoop® Portable MR Imaging® System;Hyperfine, Inc.;Radiology;LNH;K232760
15.07.2024;K240285;Huxley SANSA Home Sleep Apnea Test (1000-00);Huxley Medical;Anesthesiology;MNR;K220095
12.07.2024;K234009;"Acorn 3D Software (AC-SEG-4009); Acorn 3DP Model (AC-101-XX)";Mighty Oak Medical;Radiology;QIH;K183105,K183489
12.07.2024;K241727;BriefCase-Triage;Aidoc Medical, Ltd.;Radiology;QAS;K222277
12.07.2024;K233457;RUS;Hutom Inc.;Radiology;QIH;K212896,K221677
11.07.2024;K241329;SubtleSYNTH (1.x);Subtle Medical, Inc.;Radiology;QIH;K201616
03.07.2024;K241508;SKOUT® system;Iterative Scopes, Inc.;Gastroenterology-Urology;QNP;K240781
02.07.2024;K240736;SMART Bun-Yo-Matic X-Ray;Disior Ltd;Radiology;QIH;K223757
02.07.2024;K240555;Tyto Insights for Crackles Detection;Tyto Care Ltd.;Anesthesiology;PHZ;K232237
01.07.2024;K240353;Hyper Insight - ICH;SK Inc.;Radiology;QAS;K193658
25.06.2024;K240582;"VEA Align; spineEOS";EOS imaging;Radiology;QIH;K231917,K172346
21.06.2024;K240631;V8/XV8/XH8, V7/XV7/XH7, V6/XV6/XH6 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K231772,K212777
21.06.2024;K233196;Medihub Prostate;JLK Inc.;Radiology;QIH;K202501
21.06.2024;K233549;Tempus ECG-AF;Tempus AI, Inc.;Cardiovascular;SBQ;DEN230003
21.06.2024;K240465;O-arm O2 Imaging System;Medtronic Navigation, Inc;Radiology;OWB;K200074
21.06.2024;K233253;eCARTv5 Clinical Deterioration Suite (eCART);AgileMD, Inc.;Cardiovascular;QNL;K200717
20.06.2024;K240642;SMART Bun-Yo-Matic CT;Disior Ltd;Radiology;QIH;K223757
14.06.2024;K233955;Clarius OB AI;Clarius Mobile Health Corp.;Radiology;IYN;K230365
14.06.2024;K241083;SIS System;Surgical Information Sciences, Inc.;Radiology;QIH;K230977
13.06.2024;K233925;Relu Creator;Relu BV;Radiology;QIH;K213562
13.06.2024;K233662;Radiography 7300 C;Philips Medical Systems DMC GmbH;Radiology;KPR;/
12.06.2024;K240516;RS85 Diagnostic Ultrasound System;Samsung Medison Co., Ltd.;Radiology;IYN;K213562,K231772,K212777,DEN220024
07.06.2024;K241038;Cardiac CT Function Software Application;Circle Cardiovascular Imaging;Radiology;QIH;K141302
07.06.2024;K234042;EFAI Bonesuite XR Bone Age Pro Assessment System (BAP-XR-100);Ever Fortune.AI Co., Ltd.;Radiology;QIH;K200356
07.06.2024;K231010;Corvair;AliveCor, Inc.;Cardiovascular;MHX;K141963
07.06.2024;K232035;Impala;AliveCor, Inc.;Cardiovascular;DPS;K173952
31.05.2024;K240612;CINA-VCF;Avicenna.AI;Radiology;QFM;K222692
24.05.2024;K234154;uPMR 790;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;OUO;K222540
24.05.2024;K240769;LVivo IQS;DiA Imaging Analysis Ltd.;Radiology;QIH;K222970
23.05.2024;K233108;VinDr-Mammo;VinBigData Joint Stock Company;Radiology;QFM;K220080
23.05.2024;K240294;Syngo Carbon Enterprise Access (VA40A);Siemens Healthcare GmbH;Radiology;LLZ;K230561
21.05.2024;K233543;YSIO X.pree;Siemens Medical Solutions;Radiology;KPR;K201670
17.05.2024;K233209;uOmnispace.CT;Shanghai United Imaging Healthcare Co., Ltd.;Radiology;QIH;K183170
16.05.2024;K233625;RAYDENT SW;RAY Co., Ltd.;Dental;PNN;K180941
15.05.2024;K233247;Heuron ICH;Heuron Co., Ltd.;Radiology;QAS;K221240
15.05.2024;K241112;BriefCase-Quantification;Aidoc Medical, Ltd.;Radiology;QIH;K230534
10.05.2024;K232410;SmartChest;Milvue;Radiology;QFM;K211733
07.05.2024;K232928;DeepContour (V1.0);Wisdom Technologies., Inc.;Radiology;QKB;K221305,K223774
07.05.2024;K233864;ASSURE Wearable ECG;Kestra Medical Technologies, Inc.;Cardiovascular;MWJ;K211709,K172311
03.05.2024;K232491;CT 5300;Philips Healthcare (Suzhou) Co., Ltd.;Radiology;JAK;K212441
03.05.2024;K232416;AUTION EYE AI-4510 Urine Particle Analysis System;Arkray Inc.;Hematology;LKM;K093861
03.05.2024;K233687;ECHELON Synergy V10.0;Fujifilm Healthcare Americas Corporation;Radiology;LNH;K223426
